iteracao/seed,metodo_svm,metodo_mlp,metodo_knn,metodo_arvoreDecisao,metodo_naiveBayes,metodo_randomForest,metodo_bagging,metodo_boosting,metodo_combSoma,metodo_combMajoritaria,metodo_combBordaCount
1,0.9008,0.9064,0.7648,0.9192,0.74,0.8864,0.9352,0.9,0.9192,0.908,0.908
2,0.8984,0.9016,0.752,0.9128,0.7384,0.8736,0.9352,0.8968,0.9032,0.8976,0.8976
3,0.9024,0.9144,0.772,0.9104,0.7288,0.88,0.9336,0.8888,0.9072,0.9056,0.9056
4,0.8872,0.8952,0.7624,0.9032,0.748,0.8632,0.908,0.8752,0.8968,0.8896,0.8896
5,0.892,0.9096,0.7488,0.92,0.6944,0.8744,0.9176,0.8816,0.9056,0.896,0.896
6,0.8952,0.8952,0.7552,0.9112,0.7152,0.8864,0.9272,0.896,0.9016,0.8944,0.8944
7,0.8968,0.9056,0.7552,0.9136,0.7264,0.8832,0.9296,0.8968,0.9032,0.8968,0.8968
8,0.8992,0.9176,0.776,0.9208,0.7392,0.8816,0.9336,0.9016,0.9168,0.9056,0.9056
9,0.8984,0.916,0.7696,0.9088,0.732,0.8848,0.928,0.8928,0.9192,0.9136,0.8984
10,0.9032,0.912,0.7664,0.9192,0.7032,0.8816,0.9272,0.8936,0.908,0.8984,0.9136
11,0.8896,0.9056,0.7696,0.9256,0.7336,0.8816,0.9296,0.888,0.9,0.8992,0.8928
12,0.8992,0.9032,0.7488,0.9152,0.7208,0.892,0.9264,0.8976,0.908,0.8928,0.8992
13,0.912,0.9184,0.7584,0.9256,0.7096,0.8896,0.9352,0.896,0.9208,0.9176,0.904
14,0.9032,0.916,0.7608,0.8944,0.7232,0.8832,0.9416,0.892,0.9128,0.904,0.9176
15,0.8976,0.8952,0.752,0.9104,0.7384,0.8696,0.9208,0.8808,0.9008,0.9008,0.9008
16,0.8896,0.9072,0.7672,0.9056,0.7304,0.8776,0.9152,0.8784,0.9072,0.8976,0.8976
17,0.88,0.9088,0.7736,0.9136,0.7256,0.876,0.9304,0.892,0.908,0.8944,0.8944
18,0.908,0.9192,0.788,0.9112,0.7592,0.9056,0.9384,0.9032,0.9208,0.9168,0.9168
19,0.888,0.8992,0.7568,0.908,0.724,0.8672,0.924,0.8904,0.8944,0.8952,0.8952
20,0.8952,0.9056,0.756,0.9048,0.712,0.8912,0.9224,0.8832,0.9,0.8976,0.8976
