iteracao/seed,metodo_randomForest,metodo_boosting,metodo_combSoma,metodo_combMajoritaria
1,0.872,0.8904,0.9072,0.8952
2,0.8848,0.8832,0.9144,0.9024
3,0.884,0.908,0.8992,0.884
4,0.8744,0.8944,0.9184,0.9112
5,0.896,0.9064,0.9056,0.8864
6,0.8728,0.8904,0.9088,0.8992
7,0.8768,0.8984,0.9216,0.9136
8,0.8904,0.9008,0.9096,0.908
9,0.9112,0.888,0.908,0.904
10,0.8872,0.9088,0.9008,0.892
11,0.8824,0.9008,0.908,0.9056
12,0.88,0.8928,0.9,0.8912
13,0.8904,0.8984,0.9064,0.9008
14,0.872,0.9,0.9008,0.892
15,0.876,0.8888,0.9176,0.9104
16,0.88,0.9016,0.9032,0.8928
17,0.9352,0.8896,0.9048,0.9032
18,0.8736,0.8896,0.9176,0.916
19,0.8872,0.884,
20,0.8808,0.9,
