iteracao/seed,metodo_svm,metodo_mlp,metodo_knn,metodo_arvoreDecisao,metodo_naiveBayes
1,0.9008,0.9064,0.7648,0.9192,0.74
2,0.8984,0.9016,0.752,0.9128,0.7384
3,0.9024,0.9144,0.772,0.9104,0.7288
4,0.8872,0.8952,0.7624,0.9032,0.748
5,0.892,0.9096,0.7488,0.92,0.6944
6,0.8952,0.8952,0.7552,0.9112,0.7152
7,0.8968,0.9056,0.7552,0.9136,0.7264
8,0.8992,0.9176,0.776,0.9208,0.7392
9,0.8984,0.916,0.7696,0.9088,0.732
10,0.9032,0.912,0.7664,0.9192,0.7032
11,0.8896,0.9056,0.7696,0.9256,0.7336
12,0.8992,0.9032,0.7488,0.9152,0.7208
13,0.912,0.9184,0.7584,0.9256,0.7096
14,0.9032,0.916,0.7608,0.8944,0.7232
15,0.8976,0.8952,0.752,0.9104,0.7384
16,0.8896,0.9072,0.7672,0.9056,0.7304
17,0.88,0.9088,0.7736,0.9136,0.7256
18,0.908,0.9192,0.788,0.9112,0.7592
19,0.888,0.8992,0.7568,0.908,0.724
20,0.8952,0.9056,0.756,0.9048,0.712
